,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,002050,三花智控,0.48,41.18,,17.24,,85745.53,41.63,,03-20
1,600919,江苏银行,0.98,7.69,7.16,14.47,7.6,1061057.9,11.72,,03-20
2,002301,齐心集团,0.28,460.0,,8.88,,10489.14,432.22,,03-20
3,000520,长航凤凰,0.01,-92.07,,3.72,,971.63,-92.07,,03-20
4,002723,金莱特,0.04,-84.56,,1.02,,658.54,-84.58,,03-20
5,601127,小康股份,0.63,26.0,,15.93,,51351.69,37.91,,03-20
6,002801,微光股份,1.94,4.3,,17.21,,9993.81,21.54,10派3转10,03-20
7,000786,北新建材,0.79,25.08,,13.75,,117106.86,30.57,10派1.8,03-20
8,600621,华鑫股份,0.29,16.56,,8.08,,15421.55,18.27,,03-20
9,002092,中泰化学,0.95,17149.09,,14.74,,184347.44,23914.89,,03-20
10,002793,东音股份,1.09,0.0,,17.86,,10036.28,22.71,10转10,03-20
11,002486,嘉麟杰,0.01,-111.63,,1.29,,1185.84,-111.59,,03-20
12,601727,上海电气,0.16,-8.47,,4.94,,206017.0,-3.21,,03-18
13,600009,上海机场,1.46,11.45,,13.17,,280565.07,10.83,10派4.4,03-18
14,600234,*ST山水,0.07,-187.5,,26.45,,1426.97,-188.58,,03-18
15,600571,信雅达,0.28,-52.54,,11.09,,12261.34,1.3,10派0.9,03-18
16,000502,绿景控股,0.17,-230.77,,16.36,,3211.34,-235.63,,03-18
17,000727,华东科技,0.01,4.0,,0.22,,2359.7,123.96,,03-18
18,000839,中信国安,0.06,-73.82,,3.48,,23020.17,-34.5,10派0.5,03-18
19,002315,焦点科技,0.95,-29.36,,5.8,,11104.59,-29.36,10派10转10,03-18
20,600603,*ST兴业,0.71,-171.0,,6.06,,24687.11,-226.79,,03-18
21,600860,*ST京城,-0.35,-28.57,,-23.31,,-14878.76,-28.4,,03-18
22,000524,岭南控股,0.11,-26.67,,4.95,,3061.49,-21.96,,03-18
23,600225,*ST松江,-0.49,-36.36,,-27.46,,-45500.02,-33.04,,03-18
24,600289,亿阳信通,0.22,19.76,,5.51,,12981.65,22.99,10派0.65,03-18
25,002577,雷柏科技,0.06,-106.55,,1.55,,1793.53,-106.91,,03-18
26,002725,跃岭股份,0.28,-20.0,,5.06,,4530.63,-18.54,10派1,03-18
27,600787,中储股份,0.35,-2.61,,8.36,,76744.5,15.19,10派0.35,03-18
28,002523,天桥起重,0.13,-23.53,,5.95,,10698.65,30.91,10转2派0.2,03-18
29,002187,广百股份,0.46,-36.99,,6.2,,15765.42,-37.1,10派3,03-18
30,600602,云赛智联,0.18,43.2,,6.97,,23772.06,46.85,10派0.54,03-18
31,600761,安徽合力,0.64,0.0,,9.52,,39568.4,-0.45,10派3送2,03-18
32,600859,王府井,0.89,-37.65,,7.1,,57483.4,-13.07,10派4.3,03-18
33,000655,金岭矿业,-0.95,-5500.0,,-19.46,,-56256.37,-5484.47,,03-18
34,000922,*ST佳电,-0.8,2.97,,-26.43,,-43666.84,-2.3,,03-18
35,002156,通富微电,0.19,-7.72,,4.74,,18081.46,22.73,,03-18
36,600131,岷江水电,0.33,32.0,,16.8,,16409.42,29.56,10派0.5,03-18
37,600818,中路股份,0.28,75.0,,16.76,,9036.5,74.02,,03-18
38,000591,太阳能,0.53,-19.23,,6.92,,65324.93,38.18,10派0.52送2转10,03-18
39,000715,中兴商业,0.32,28.0,,7.49,,8867.11,26.91,10派0.7,03-18
40,002074,国轩高科,1.19,48.75,,29.86,,103093.97,76.35,10派1.5,03-18
41,600248,延长化建,0.2,-22.02,,6.56,,12281.65,1.39,10派0.2,03-18
42,600588,用友网络,0.14,-39.13,3.88,3.52,0.61,19739.17,-39.03,10派1.3,03-18
43,000628,高新发展,0.09,-43.37,,4.11,,2936.67,-37.07,,03-18
44,002231,奥维通信,0.02,-18.15,,1.1,,724.91,-18.22,,03-18
45,300394,天孚通信,0.65,-54.57,,17.04,,12157.77,17.73,10派3.2,03-18
46,000905,厦门港务,0.39,-20.41,,6.56,,20660.79,-19.95,10派0.52,03-18
47,002018,华信国际,0.16,23.08,,12.03,,36803.93,132.74,10派0.17,03-18
48,002255,海陆重工,0.12,-23.9,,3.3,,7535.26,-11.15,,03-18
49,000812,陕西金叶,0.08,77.5,,3.96,,3492.67,76.4,10派0.3,03-18
50,002564,天沃科技,-0.41,-2150.0,,-10.15,,-29971.09,-2046.95,,03-18
51,600773,西藏城投,0.1,11.11,,2.91,,7338.2,17.55,10派0.1,03-18
52,601088,中国神华,1.14,40.64,15.7,7.51,4.12,2271200.0,40.68,10派4.6,03-18
53,300374,恒通科技,0.26,13.04,,6.4,,5021.87,15.49,10派0.3,03-18
54,000031,中粮地产,0.4,0.0,,11.61,,72015.39,-0.23,10派0.4,03-18
55,000785,武汉中商,0.01,-105.26,,0.26,,204.11,-104.25,,03-18
56,002249,大洋电机,0.23,15.0,,6.66,,50935.01,49.29,10派0.8,03-18
57,600386,北巴传媒,0.29,-19.44,,6.68,,11773.41,-19.43,10转10派1.2,03-18
58,600548,深高速,0.54,-24.72,,9.35,,116935.32,-24.69,10派2.2,03-18
59,600812,华北制药,0.03,-15.38,,1.03,,5441.51,-13.42,10派0.2,03-18
60,600970,中材国际,0.29,-51.67,,7.73,,51138.34,-23.02,,03-18
61,000503,海虹控股,0.03,21.4,,2.02,,2802.12,21.5,,03-18
62,000973,佛塑科技,0.13,44.44,,6.0,,12565.51,51.94,,03-18
63,002700,新疆浩源,0.19,-26.92,,9.24,,8005.53,-27.78,10派0.32,03-18
64,600614,鹏起科技,0.05,0.0,,2.0,,9169.23,94.76,,03-18
65,000779,三毛派神,0.07,-116.76,,6.19,,1314.13,-116.62,,03-18
66,000888,峨眉山A,0.36,-2.55,,9.35,,19119.95,-2.57,,03-18
67,601168,西部矿业,0.04,300.0,,0.88,,9980.08,228.6,,03-18
68,300403,地尔汉宇,1.43,29.61,,15.25,,19156.6,29.61,10转15派2.5,03-17
69,603887,城地股份,0.69,-9.21,,12.35,,5534.62,-1.1,10派1.1,03-17
70,000803,*ST金宇,-0.48,85.26,,-70.9,,-6163.91,85.23,,03-17
71,002624,完美世界,0.96,62.71,,26.73,,116631.31,304.34,10派0.888,03-17
72,601015,陕西黑猫,0.23,-151.11,,8.26,,21562.4,-176.75,,03-17
73,000560,昆百大A,0.07,103.0,,2.12,,7916.58,156.8,10派0.14,03-17
74,000802,北京文化,0.86,1479.67,,16.19,,52239.92,2361.3,10派0.77,03-17
75,002640,跨境通,0.29,7.41,,13.55,,39376.82,133.85,10派0.56,03-17
76,002697,红旗连锁,0.11,-18.38,,6.85,,14431.67,-19.47,10派0.19,03-17
77,000001,平安银行,1.32,-15.38,10.61,13.18,0.64,2259900.0,3.36,10派1.58,03-17
78,600101,明星电力,0.26,-3.7,,4.32,,8353.91,-6.23,10派0.5,03-17
79,300018,中元股份,0.22,-38.89,,7.75,,10678.02,42.08,10派0.5,03-17
80,002597,金禾实业,0.97,155.26,,24.74,,55146.36,157.15,10派4,03-17
81,600893,中航动力,0.46,-13.21,,5.82,,89069.55,-13.8,10派1.38,03-17
82,002633,申科股份,-0.17,-221.43,,-4.87,,-2570.58,-223.2,,03-17
83,300328,宜安科技,0.08,-68.38,,4.47,,3068.77,-42.93,10派0.2,03-17
84,600513,联环药业,0.29,-3.33,,7.82,,6269.02,25.09,10派0.86转3,03-17
85,300375,鹏翎股份,0.86,24.64,,13.29,,15731.5,26.1,10派2.4,03-17
86,601918,*ST新集,0.09,-109.4,,5.48,,24173.64,-109.44,,03-17
87,000712,锦龙股份,0.41,-59.8,,10.39,,36556.41,-59.97,10派1,03-17
88,600835,上海机电,1.42,-20.67,,16.76,,144909.1,-21.01,10派4.3,03-17
89,000615,京汉股份,0.14,-77.05,,6.47,,10924.51,-54.04,10派0.4,03-17
90,600279,重庆港九,0.11,-35.29,,2.43,,7846.04,0.85,10派0.4,03-17
91,600707,彩虹股份,-0.37,-628.57,,-19.1,,-27251.25,-642.68,,03-17
92,300080,易成新能,0.04,222.05,,0.64,,2055.72,221.15,,03-17
93,000890,法尔胜,0.37,2434.25,,10.91,,14134.74,2456.85,10派1,03-17
94,300031,宝通科技,0.38,68.07,,7.04,,14072.57,106.05,10派1,03-17
95,600882,广泽股份,0.08,-111.59,,1.68,,3221.01,-111.72,,03-17
96,000810,创维数字,0.48,15.36,,21.33,,48640.2,17.07,10派1.1,03-17
97,600235,民丰特纸,0.04,-109.09,,1.0,,1255.07,-108.09,,03-17
98,603601,再升科技,0.22,-36.07,,10.12,,8082.4,58.19,,03-17
99,000856,*ST冀装,0.1,-111.24,,8.7,,2312.46,-111.39,,03-17
100,002644,佛慈制药,0.12,31.24,,4.83,,6092.62,41.86,10派0.12,03-17
101,600769,祥龙电业,0.01,-75.0,,4.13,,179.19,-71.61,,03-17
102,600332,白云山,1.08,6.75,10.67,12.75,,150803.27,15.97,10派2.8,03-16
103,600449,宁夏建材,0.12,201.5,,1.38,,5764.99,189.76,10派0.4,03-16
104,300072,三聚环保,1.38,15.97,,29.73,,161705.3,97.07,10派2转5,03-16
105,000877,天山股份,0.11,-119.01,,1.61,,9978.54,-119.0,10派0.36,03-16
106,600106,重庆路桥,0.33,32.0,,8.8,,29526.3,31.37,10送1派0.98,03-16
107,603398,邦宝益智,0.38,-58.7,,10.47,,5855.72,-11.51,10派0.85,03-16
108,002371,北方华创,0.22,100.18,,3.6,,9290.16,140.38,10派0.22,03-16
109,600569,安阳钢铁,0.05,-104.78,,2.59,,12323.71,-104.83,,03-16
110,601991,大唐发电,-0.2,-193.41,,-6.45,,-262333.1,-193.39,,03-16
111,002080,中材科技,0.53,-29.73,,5.55,,40140.33,33.67,10派1.15,03-16
112,603090,宏盛股份,0.48,-2.85,,12.72,,3985.13,8.11,10派2,03-16
113,600223,鲁商置业,0.09,-18.18,,4.23,,9237.21,-17.89,,03-16
114,600720,祁连山,0.21,-7.06,,3.43,,16657.91,-7.06,10派0.65,03-16
115,000695,滨海能源,0.02,13.64,,1.19,,388.33,13.31,,03-16
116,002675,东诚药业,0.2,-59.49,,6.08,,13095.26,45.92,10派0.4,03-16
117,600565,迪马股份,0.33,65.0,,12.05,,77675.29,65.79,10派1,03-16
118,002179,中航光电,1.22,29.79,,19.57,,73376.59,29.1,10转3派1,03-16
119,600688,上海石化,0.55,83.06,2.29,26.38,0.67,595557.6,83.48,10派2.5,03-16
120,002334,英威腾,0.09,-55.17,,3.94,,6806.73,-54.28,,03-16
121,600372,中航电子,0.26,-3.5,,7.86,,46041.36,-3.48,10派0.5,03-16
122,600633,浙报传媒,0.51,0.21,,13.78,,61163.22,0.22,,03-16
123,300213,佳讯飞鸿,0.39,21.88,,10.07,,10320.67,24.45,10派1转10,03-16
124,600050,中国联通,0.01,-95.54,,0.2,,15407.41,-95.56,,03-16
125,300066,三川智慧,0.13,-62.24,,9.47,,13357.63,-4.05,10派0.2,03-16
126,603969,银龙股份,0.36,9.09,,9.37,,14485.13,12.76,,03-16
127,002424,贵州百灵,0.34,17.24,,17.6,,48232.71,17.25,,03-16
128,002648,卫星石化,0.39,-171.56,,9.48,,31156.46,-171.46,,03-16
129,600316,洪都航空,0.02,-85.87,,0.21,,1104.04,-85.88,10派0.07,03-16
130,300271,华宇软件,0.43,-37.68,,16.37,,27169.42,30.34,10派0.5,03-16
131,300609,汇纳科技,0.64,28.0,,20.87,,4830.14,29.99,,03-16
132,000711,京蓝科技,0.06,-73.91,,1.44,,1198.89,-68.14,10派1,03-16
133,002172,澳洋科技,0.38,94.37,,21.84,,25924.22,90.81,,03-16
134,600038,中直股份,0.75,0.49,,6.55,,43916.15,0.48,,03-16
135,002530,丰东股份,0.16,23.08,,4.84,,4655.68,37.57,,03-16
136,002686,亿利达,0.29,23.83,,13.15,,11985.02,24.59,,03-16
137,300518,盛讯达,1.22,-7.58,,13.0,,9967.39,8.18,10派1.65,03-16
138,600298,安琪酵母,0.65,-23.58,3.95,16.47,0.94,53509.2,91.04,,03-16
139,002190,成飞集成,0.4,53.85,,7.88,,13771.64,56.3,10派1.2,03-15
140,600067,冠城大通,0.22,46.67,,4.55,,32151.71,51.34,10派1,03-15
141,002555,三七互娱,0.51,-11.55,,26.56,,107016.23,111.49,10派1,03-15
142,600765,中航重机,0.31,-179.49,,7.21,,24246.31,-180.8,10派0.4,03-15
143,002034,美欣达,0.2,-57.45,,2.76,,2019.79,-48.52,,03-15
144,002159,三特索道,-0.39,-225.81,,-6.11,,-5394.03,-225.42,,03-15
145,600323,瀚蓝环境,0.66,24.53,,11.04,,50856.75,26.23,10派2,03-15
146,300419,浩丰科技,0.34,-76.06,,4.47,,6141.81,7.34,10派1转10,03-15
147,002408,齐翔腾达,0.28,12.0,,8.67,,50251.02,172.83,10派0.5,03-15
148,300334,津膜科技,0.17,-14.15,,3.63,,4739.58,-10.39,10派0.2,03-15
149,002658,雪迪龙,0.32,-25.58,,11.86,,19390.36,-26.25,10派0.66,03-15
150,600523,贵航股份,0.6,5.26,,8.53,,17323.95,4.64,10派1.8,03-15
151,002807,江阴银行,0.48,-8.59,,9.92,,77792.6,-4.49,10派1.5,03-15
152,002847,盐津铺子,0.92,31.43,,30.4,,8565.65,30.89,10派2,03-15
153,000756,新华制药,0.27,50.0,,6.31,,12227.15,47.2,,03-15
154,002572,索菲亚,1.48,42.31,,22.55,,66401.69,44.66,10派7转10,03-15
155,300457,赢合科技,1.06,85.96,,19.61,,12387.15,105.68,10派3,03-15
156,002584,西陇科学,0.17,-60.47,,5.52,,9678.96,6.6,10派0.5,03-15
157,300285,国瓷材料,0.45,32.35,,9.05,,13039.66,51.76,10派1转10,03-15
158,601518,吉林高速,0.16,45.45,,7.45,,19194.68,37.87,10派0.48,03-15
159,600681,百川能源,0.63,-3250.0,,32.94,,55117.41,-13730.01,,03-15
160,000739,普洛药业,0.23,27.78,,10.45,,26289.71,26.25,10派0.69,03-15
161,600206,有研新材,0.06,50.0,,1.72,,4789.38,57.86,,03-15
162,002145,中核钛白,0.05,-118.52,,3.29,,8409.07,-166.55,,03-15
163,002668,奥马电器,1.8,11.8,,15.84,,29804.49,11.61,10派2.5送10转20,03-15
164,002056,横店东磁,0.54,-31.65,,11.81,,44118.38,36.52,10派0.6转10,03-15
165,600575,皖江物流,0.12,71.43,,10.48,,47277.73,140.6,,03-15
166,300310,宜通世纪,0.39,44.44,,8.75,,17073.83,172.81,10派0.8转8,03-15
167,000738,中航动控,0.18,6.42,,4.32,,20884.44,6.42,10派0.2,03-15
168,600203,福日电子,0.15,-51.61,,3.21,,6376.22,-45.63,10派0.2,03-15
169,600862,中航高科,0.05,-78.26,,2.22,,7342.21,-49.23,,03-15
170,600722,金牛化工,0.04,-89.4,,2.98,,2591.7,-89.4,,03-15
171,300511,雪榕生物,0.76,-30.91,,9.94,,10480.58,-15.03,10派1.5转5,03-14
172,300172,中电环保,0.22,-26.67,,10.28,,10904.3,8.08,10派0.5,03-14
173,000023,深天地A,0.07,-62.77,,2.58,,995.22,-62.77,10派0.4,03-14
174,000768,中航飞机,0.15,0.74,,2.7,,41313.34,3.27,10派0.5,03-14
175,600525,长园集团,0.53,3.92,,10.28,,64005.76,32.53,10派0.8,03-14
176,600898,三联商社,0.06,-30.85,,4.39,,1619.33,-30.82,,03-14
177,300069,金利华电,0.2,122.22,,4.8,,2388.59,126.46,,03-14
178,000868,安凯客车,0.07,16.67,,3.96,,5135.07,27.62,,03-14
179,002113,天润数娱,0.07,-299.46,,8.28,,5411.31,-1333.14,,03-14
180,600525,长园集团,0.53,3.92,,10.28,,64005.76,32.53,,03-14
181,000023,深天地A,0.07,-62.77,,2.58,,995.22,-62.77,10派0.4,03-14
182,000768,中航飞机,0.15,0.74,,2.7,,41313.34,3.27,,03-14
183,600898,三联商社,0.06,-30.85,,4.39,,1619.33,-30.82,,03-14
184,300069,金利华电,0.2,122.22,,4.8,,2388.59,126.46,,03-14
185,000868,安凯客车,0.07,16.67,,3.96,,5135.07,27.62,,03-14
186,002113,天润数娱,0.07,-299.46,,8.28,,5411.31,-1333.14,,03-14
187,300122,智飞生物,0.02,-92.0,,1.3,,3252.03,-83.53,10派0.1,03-14
188,002283,天润曲轴,0.17,-37.04,,5.62,,19429.68,29.31,10派0.18,03-14
189,002696,百洋股份,0.34,3.82,,5.91,,5925.59,3.81,10派1,03-14
190,002717,岭南园林,0.67,28.85,,12.87,,26080.41,55.29,10派1.25,03-14
191,300017,网宿科技,1.62,36.27,,21.52,,125039.66,50.41,10派2.5转20,03-14
192,002155,湖南黄金,0.12,300.0,,3.94,,14350.25,400.87,10派0.5,03-14
193,002282,博深工具,0.04,100.0,,1.59,,1248.45,89.25,10派0.3,03-14
194,600239,云南城投,0.23,-11.54,,5.49,,24413.94,-12.38,,03-14
195,600973,宝胜股份,0.3,-23.59,,11.03,,26566.91,65.52,,03-14
196,603558,健盛集团,0.29,-19.44,,6.68,,10362.3,2.24,,03-14
197,002795,永和智控,0.74,-15.91,,14.48,,6737.78,2.08,10派5转10,03-14
198,300520,科大国创,0.72,12.5,,15.11,,5692.74,28.08,10转12派1.2,03-14
199,600114,东睦股份,0.46,6.98,,10.63,,17586.31,9.65,,03-14
200,000670,*ST盈方,0.03,15.18,,3.76,,2417.17,15.05,,03-14
201,002352,顺丰控股,1.06,381.82,,22.46,,418042.62,16534.82,10派1,03-13
202,603126,中材节能,0.21,21.66,,9.08,,13025.62,21.63,10派0.7,03-13
203,000049,德赛电池,1.24,10.89,,24.6,,25530.13,10.89,10派2.5,03-13
204,300472,新元科技,0.19,-55.81,,4.26,,1619.69,-35.8,10派0.33,03-13
205,300598,诚迈科技,0.84,16.67,,19.89,,5056.2,17.55,10派1,03-13
206,002109,*ST兴化,0.04,-110.65,,0.73,,2808.24,-120.86,,03-13
207,002625,龙生股份,0.22,57.14,,11.69,,6594.25,63.48,,03-11
208,600276,恒瑞医药,1.1,-0.98,,23.24,,258895.21,19.22,10派1.35送2,03-11
209,600113,浙江东日,0.31,6.9,,19.03,,9941.95,7.53,10派0.1,03-11
210,000936,华西股份,0.68,518.18,,15.88,,60445.1,604.46,10派1.2,03-11
211,600378,天科股份,0.09,-40.0,,3.66,,2711.12,-37.26,10派0.3,03-11
212,600826,兰生股份,2.0,64.61,,23.75,,84043.53,64.49,10派6,03-11
213,601012,隆基股份,0.86,177.42,,21.77,,154723.58,197.36,10派1,03-11
214,000717,*ST韶钢,0.04,-103.74,,24.94,,10142.73,-103.91,,03-11
215,000990,诚志股份,0.29,-7.05,,3.81,,11078.01,-8.51,10派0.2,03-11
216,600398,海澜之家,0.7,6.06,,34.64,,312264.73,5.74,10派4.9,03-11
217,600665,天地源,0.27,11.27,,8.29,,23032.81,11.31,10派0.8,03-11
218,300068,南都电源,0.48,41.18,,7.43,,32934.34,62.0,10派2,03-11
219,000836,鑫茂科技,0.04,-89.04,,2.86,,4744.71,-65.57,,03-11
220,600099,林海股份,0.01,-18.52,,0.41,,193.4,-18.06,10派0.4,03-11
221,600784,鲁银投资,0.07,-164.04,,2.75,,4171.67,-164.33,10派0.3,03-11
222,000514,渝开发,0.15,1571.26,,4.28,,12266.15,1564.15,10派0.2,03-11
223,600118,中国卫星,0.34,6.25,,8.42,,39766.43,3.69,10派1.1,03-11
224,600228,*ST昌九,-0.15,50.0,,-88.8,,-3709.08,50.8,,03-11
225,002495,佳隆股份,0.03,-41.62,,2.93,,3227.92,-18.39,,03-11
226,600091,ST明科,0.03,-70.0,,1.7,,1501.83,-55.62,,03-11
227,600506,香梨股份,-0.06,-462.73,,-3.18,,-862.59,-463.09,,03-11
228,600071,凤凰光学,-0.49,-686.83,,-25.73,,-11539.68,-681.68,,03-10
229,002419,天虹商场,0.65,-56.95,,9.5,,52411.06,-56.63,10派3.6,03-10
230,600367,红星发展,0.16,-124.09,,4.37,,4585.95,-124.09,10派0.16,03-10
231,600502,安徽水利,0.34,-29.17,,11.14,,30564.2,19.45,,03-10
232,300422,博世科,0.49,39.89,,11.84,,6267.89,45.79,10派0.6转15,03-10
233,002195,二三四五,0.33,-31.25,,10.22,,63496.56,52.2,10派0.5转7,03-10
234,300024,机器人,0.26,-56.12,,7.64,,41077.36,4.04,,03-10
235,300386,飞天诚信,0.29,-67.05,,7.81,,11958.96,-34.86,10派1,03-10
236,000026,飞亚达A,0.25,-18.62,,4.74,,11066.27,-9.07,10派1,03-10
237,002683,宏大爆破,0.09,-50.0,,2.49,,6263.27,-38.24,10派0.5,03-10
238,600495,晋西车轴,0.02,-75.0,,0.87,,2694.31,-73.27,,03-10
239,603600,永艺股份,1.2,29.03,,20.61,,12022.41,31.83,10派6转15,03-10
240,600502,安徽水利,0.34,-29.17,,11.14,,30564.2,19.45,,03-10
241,300024,机器人,0.26,-56.12,,7.64,,41077.36,4.04,,03-10
242,300386,飞天诚信,0.29,-67.05,,7.81,,11958.96,-34.86,,03-10
243,000026,飞亚达A,0.25,-18.62,,4.74,,11066.27,-9.07,10派1,03-10
244,002683,宏大爆破,0.09,-50.0,,2.49,,6263.27,-38.24,10派0.5,03-10
245,603600,永艺股份,1.2,29.03,,20.61,,12022.41,31.83,,03-10
246,600495,晋西车轴,0.02,-75.0,,0.87,,2694.31,-73.27,,03-10
247,002815,崇达技术,1.01,20.08,,27.48,,37575.34,24.88,,03-10
248,600721,百花村,0.49,-130.41,,17.38,,13913.42,-134.27,,03-10
249,300023,宝德股份,0.2,-52.38,,6.2,,6285.02,17.25,,03-10
250,300476,胜宏科技,0.62,-36.73,,17.4,,23207.12,83.4,,03-10
251,000935,四川双马,0.11,-168.75,,3.16,,8453.89,-174.34,,03-10
252,002677,浙江美大,0.32,-17.95,,18.5,,20265.61,30.21,10派3.1,03-10
253,002775,文科园林,0.58,-37.01,,11.91,,13957.06,44.0,,03-10
254,600062,华润双鹤,0.99,8.03,,11.15,,71421.09,8.04,10派0.99送2,03-10
255,600187,国中水务,0.01,-113.7,,0.63,,1618.9,-113.73,,03-10
256,600356,恒丰纸业,0.32,3.23,,4.81,,9467.0,7.62,10派0.96,03-10
257,600641,万业企业,0.89,239.76,,17.77,,71842.21,239.72,10派2.7,03-10
258,300221,银禧科技,0.38,280.0,,18.48,,15299.3,280.66,10派1,03-10
259,000757,浩物股份,0.06,100.0,,4.7,,2631.98,75.07,,03-10
260,002575,群兴玩具,0.02,-29.77,,1.42,,1276.43,-29.81,,03-10
261,000795,英洛华,0.03,-121.43,,2.03,,3458.08,-159.67,,03-10
262,002363,隆基机械,0.16,-15.79,,3.42,,6015.6,8.33,10派0.2,03-10
263,000423,东阿阿胶,2.83,13.99,,24.1,,185247.35,14.0,10派9,03-10
264,600711,盛屯矿业,0.13,36.96,,4.81,,18856.49,36.19,10派0.2,03-10
